"IDRSSD"	RIADA491	RIADB904	RIADB905	RIADB906	RIADB907	RIADB909	RIADB910	RIADB911	RIADB912	RIADB947	RIADB948	RIADB949	RIADB950	RIADB951	RIADB952	RIADB953	RIADB954	RIADB955	RIADB956	RIADB957	RIADB958	RIADB959	RIADB960	RIADB961	RIADC058	RIADJ315	RIADJ316	
	NET TRUST INCOME (LOSS)	PERSONAL TRUST AND AGENCY ACCOUNTS	EMPLOYEE BENEFIT-DEFINED CONTRIBUTN	EMPLOYEE BENEFIT-DEFINED BENEFIT	OTHER RETIREMENT ACCOUNTS	CUSTODY AND SAFEKEEPING ACCOUNTS	OTH FIDUCIARY/RELATED SERVICES INCME	PLUS:INTRACMPNY INCM CRDTS FOR FIDUC	FIDUCIARY/RELTD SRVCS INCM-FRGN OFFS	PRSNL TRST/AGCY ACCTS-GROSS LOSS,ETC	PRSNL TRST/AGCY ACCTS-GROSS LOSS NON	PERSONAL TRUST/AGCY ACCTS-RECOVERIES	RETIREMT RLTD TRST,ETC-GROSS LOSS MN	RETIREMT RLTD TRST,ETC-GROSS LOS NON	RETIREMT RELATED TRST,ETC-RECOVERIES	INVMT MNGEMT AGCY ACCTS-GROS LOS MNG	INVMT MNGEMT AGCY ACCTS-GROS LOS NON	INVTMT MNGEMT AGCY ACCTS-RECOVERIES	OTH FIDU ACCTS/RLTD SVCS-GROS LOS MN	OTH FID ACCTS/RLTD SVCS-GROS LOS NON	OTH FIDU ACCTS/RLTD SVCS-RECOVERIES	TOT FIDU SETTLEMTS,ETC-GROS LOSS MN	TOT FIDU SETTLEMTS,ETC-GROS LOSS NON	TOT FIDU SETTLEMENTS,ETC-RECOVERIES	LESS: EXPENSES	FID REL SRVC INC INV MGMT ADVIS AGY 	FID REL SRVC INC FOUND ENDW TR AGY A	
37																												
242																												
279																												
354																												
457																												
505																												
1155																												
1351																												
1454		235	169	2	220	0	0																			342	30	
1669																												
1856																												
2161																												
2732																												
2750																												
3252																												
3458																												
3720																												
3971																												
4156																												
4231																												
5069																												
5135																												
5210																												
5461																												
5751																												
6039																												
6329																												
7009		6318	312	124	0	123	18765																			448	83	
7045																												
7072																												
7456																												
7634																												
8033																												
8462																												
8631																												
9357																												
9553																												
9807		47	0	0	30	2	0																			0	5	
9955																												
10250																												
10849																												
11145																												
11640																												
11837																												
12030																												
12142																												
12311		14686	1025	1782	5288	2728	90		0																	18025	1938	
12647																												
12656																												
12946																												
13103																												
13251																												
13457																												
14155																												
14650																												
14753																												
14865																												
14977																												
16551																												
17110		2433	462	209	2345	0	255																			8529	1614	
17147		2099	514	55	874	68	0																			2150	76	
17259																												
17950																												
17978																												
18050																												
18827																												
18836																												
18854																												
19356																												
19936																												
19972																												
20053																												
20633																												
20857																												
21256																												
21359																												
21658																												
22048																												
22543																												
22552																												
22730																												
23456																												
23504																												
23643																												
23755																												
24006																												
24378																												
24659																												
24668																												
24949																												
25357																												
25647																												
26457																												
26765																												
27070																												
27548																												
27614																												
27847																												
28013																												
28152																												
28675																												
28732																												
29476																												
29636																												
29878																												
30052																												
30502																												
30650																												
30810																												
31134																												
31255																												
31657																												
31826																												
31835																												
32234																												
32766																												
32971																												
33147																												
33259																												
33268																												
33370																												
33839																												
33857																												
34434																												
34537		821	0	0	184	0	18																			950	9	
34555																												
34742																												
35057																												
35301		2000	79000	86000	13000	1269000	0		595000																	43000	19000	
35570																												
35646																												
35879																												
36456																												
36933																												
37051																												
37341																												
37435																												
37640		436	115	91	345	45	0																			669	148	
37659																												
37949																												
38740																												
39327																												
39756																												
40033																												
40499																												
40855																												
41553																												
41629																												
41825																												
42037																												
42354																												
42372																												
42420		660	3	77	583	34	1																			1194	161	
42448																												
42457																												
43052																												
43351																												
43856																												
43959																												
44040																												
44433																												
44741																												
44750																												
44929																												
45038																												
45047																												
45056																												
45430																												
45458																												
45551																												
45560		1638	7	49	54	71	0																			234	40	
45775																												
46053																												
46941																												
47247																												
47256																												
47452																												
47500																												
48057																												
48150																												
48374																												
48440																												
49054																												
49148																												
49241																												
49652																												
49858																												
49951																												
50144																												
50461																												
51253																												
51356																												
51459																												
51842																												
52719	14143	0	0	0	0	0	125509																		111366	0	0	
52951																												
53051																												
54058																												
54656																												
54973																												
55336																												
55635																												
55653																												
55970																												
56258																												
56351		641	23	0	124	11	0																			700	192	
56548																												
56717																												
57040																												
57451																												
58225																												
58243		3286	1486	53	1932	44	2																			1574	319	
58355																												
58551																												
58636																												
58757																												
58971		1826	112	0	802	52	0																			2383	263	
59316																												
59352																												
59370																												
59754																												
60143		10000	1000	1000	2000	2000	2000		1000																	8000	1000	
60330																												
60545																												
60554																												
60648																												
61122		430	77	141	605	0	2																			891	43	
61355																												
61476																												
61757																												
61832		374	23	0	165	15	0																			763	170	
61953																												
62044																												
62110		543	0	0	0	0	0																			1110	485	
62147																												
63050																												
63069		17359	752	323	2837	480	0		0																	7181	1002	
63201																												
63573																												
63733																												
63742																												
64150																												
64552																												
64730																												
65205																												
65513		182	0	0	0	0	1623		0																	0	0	
65559																												
65858																												
66154																												
66275																												
66677																												
67142																												
67151																												
67209																												
67254																												
67656																												
67870																												
68671																												
68756																												
68831																												
69333		237	0	0	136	31	8																			258	0	
69678		730	137	0	791	52	0																			1276	0	
70218																												
70414																												
70638																												
70955																												
71073																												
71457																												
71859																												
72258																												
72351																												
72454																												
72678																												
73116																												
73152																												
73554																												
73956																												
74056																												
74140		296	8	0	76	28	0																			243	0	
74403																												
74449																												
75259																												
75446																												
75455																												
75633		14893	1147	1630	9452	2057	1207		0																	32189	1870	
75651																												
76153																												
76443																												
76854																												
77150																												
77253																												
77422																												
77851		446	551	0	335	33	166																			707	118	
78157																												
78241																												
78559																												
79042																												
79127																												
79145																												
79257																												
79855																												
80150																												
80374																												
80431																												
81175																												
82033																												
82257																												
82350																												
83151																												
83236																												
83375																												
83638		496	0	0	10	0	127		167																	0	0	
83834																												
83852																												
83955																												
84046																												
84541																												
84804																												
85052																												
85472		0	0	0	0	0	609																			0	0	
85931																												
86349																												
86675																												
87047																												
87159																												
87234																												
87476																												
87579																												
88231																												
88259																												
88352																												
88455																												
88950																												
89032																												
89135																												
89854																												
89957																												
90047																												
90177																												
90328																												
90337																												
90579																												
91615																												
91754																												
91950																												
92144																												
92676																												
92706																												
92902																												
93244																												
93543		476	7	0	201	0	0																			385	6	
93619		0	0	1170	0	3422	0		0																	0	0	
94139																												
94522																												
94755																												
94858																												
95051																												
95677																												
96553																												
97055																												
97279																												
97457																												
97804																												
97943																												
98351																												
98463																												
98717																												
99143																												
99376																												
99442																												
99536																												
99853																												
100236																												
100357																												
100562																												
100777																												
100843																												
101019																												
101037																												
101439																												
101671																												
101738																												
101952																												
102333																												
102342																												
102539																												
102557																												
102874																												
103134																												
104234																												
104542																												
104971																												
105026																												
105473		354	114	81	290	2	0																			426	9	
105530																												
106359																												
106452																												
106676																												
107244		902	78	28	166	47	0																			538	13	
107459																												
107570																												
107758																												
108072																												
108269																												
108652																												
108746																												
108951																												
109136																												
109154																												
109453																												
109574																												
109659																												
110413																												
110936																												
110945																												
110972																												
111157																												
111205																												
111942																												
111979																												
112163																												
112332																												
112510																												
112556																												
112837																												
113003																												
113030																												
113441																												
113601																												
113740																												
114149																												
114260		155	0	0	29	25	3																			245	0	
114457																												
114774																												
114840																												
114859																												
115146																												
115575																												
116358																												
116554																												
116741																												
117038																												
117074																												
117458																												
117775																												
118156																												
118660																												
118736																												
119153																												
119528																												
119779																												
119872																												
120476																												
120542																												
120609																												
120953																												
121642		246	630	9	308	22	0																			536	64	
121651																												
121914																												
122153																												
122546																												
122854																												
123075																												
123374																												
124344																												
124830																												
125154																												
125855																												
125873																												
126012																												
126049																												
126375																												
126553		297	3	0	441	23	27																			389	56	
126834																												
127055																												
127224																												
128258																												
128904		2484	53	10	1288	33	0																			1387	886	
129349																												
129358																												
129479																												
129732		476	0	0	133	24	0																			410	5	
129853																												
129910																												
130345																												
130541		456	62	12	385	10	32																			542	1	
130813																												
131034																												
131173																												
131436																												
131717																												
131940																												
132107																												
132451																												
132778																												
132938																												
133579																												
133850																												
133971																												
134156																												
134437																												
134455																												
134848																												
135836																												
135854																												
136048																												
136338																												
136459																												
136655																												
137205																												
137447																												
137456																												
137559																												
137643																												
137652																												
137915		56	0	0	2	21	0																			117	24	
138051																												
138257																												
138556																												
139133																												
139478																												
139553																												
139656																												
139740		334	0	0	64	10	0																			217	4	
139834																												
139843																												
140157																												
140362																												
140634																												
141211																												
141341																												
141350																												
141556																												
141677																												
141958																												
142049																												
142179																												
142955																												
143372																												
143662																												
143859																												
143952																												
144034																												
144052																												
144155																												
144678																												
144856		460	3	3	196	58	11																			210	112	
144913																												
145059																												
145545																												
145554																												
145741																												
145844																												
146056																												
146663																												
146672																												
147651																												
147679																												
147857																												
147923																												
148171																												
148238																												
148340																												
148470																												
148715																												
148809																												
148920																												
149150																												
150035		234	55	227	187	87	0																			231	45	
150044																												
150727																												
151546																												
151957																												
152057																												
152253																												
152431																												
152440																												
153054																												
153353																												
154154																												
154770																												
155759																												
156457																												
156635																												
156970																												
157155																												
157379																												
157650																												
157744																												
157856																												
158376																												
158741																												
159636																												
159645																												
159953																												
159971																												
160360		679	0	0	13	0	0																			86	0	
160454																												
160650																												
160959																												
161273																												
161602		1691	333	27	1235	376	0																			2190	89	
162337																												
163343																												
163549																												
163857																												
164153																												
164331																												
164377																												
164957																												
164975																												
165628		1881	260	44	889	61	0																			1410	0	
165758																												
